2026-01-28T04:14:08.000000000Z [inf]  Starting Container
2026-01-28T04:14:08.722331277Z [inf]  Initializing database...
2026-01-28T04:14:09.819903100Z [err]  [COSMOS] Failed to initialize client: Connection string missing setting 'AccountEndpoint'.
2026-01-28T04:14:09.819909403Z [err]  Cosmos DB client not available. Project persistence will fail.
2026-01-28T04:14:11.227688245Z [inf]  1. Loading .env file...
2026-01-28T04:14:11.776470868Z [err]  INFO:agentic.base_memory:[StrategyRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:11.776482618Z [err]  INFO:agentic.base_memory:[StrategyRAGMemory] Singleton instance created
2026-01-28T04:14:11.784863245Z [err]  INFO:agentic.base_memory:[IndexRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:11.784878288Z [err]  INFO:agentic.base_memory:[IndexRAGMemory] Singleton instance created
2026-01-28T04:14:11.911051895Z [err]  INFO:agentic.intent_classification_routing_agent:[IntentRouting] Loaded 10 exit phrases, 6 greeting phrases, 67 knowledge patterns
2026-01-28T04:14:11.911056469Z [err]  INFO:agentic.intent_classification_routing_agent:[WorkflowStateMemory] Initialized - Backend workflow state tracking enabled
2026-01-28T04:14:11.919868443Z [err]  INFO:agentic.base_memory:[StandardsRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:11.919896425Z [err]  INFO:agentic.base_memory:[StandardsRAGMemory] Singleton instance created
2026-01-28T04:14:12.175740234Z [err]  INFO:agentic.workflow_state_manager:[WORKFLOW_STATE_MANAGER] Initialized: max_states=10000, ttl=3600s, cleanup_interval=300s
2026-01-28T04:14:12.175747160Z [err]  INFO:agentic.workflow_state_manager:[WORKFLOW_STATE_MANAGER] Background cleanup thread started
2026-01-28T04:14:12.257582821Z [err]  INFO:root:Redis session storage initialized successfully (Host: redis.railway.internal)
2026-01-28T04:14:12.266081744Z [err]  INFO:rate_limit_config:[FIX6] Testing Redis connection: redis://default:YgEBEiOnkncQvDFtsCwfuUqmFrjHEmck@redis.railway.internal:6379
2026-01-28T04:14:12.827150650Z [err]  INFO:agentic.instance_manager:[INSTANCE_MANAGER] Initialized
2026-01-28T04:14:12.827167645Z [err]  INFO:agentic.orchestrator_utils:[CLEANUP] Background cleanup tasks started
2026-01-28T04:14:12.827177803Z [err]  INFO:agentic.session_api:[SESSION_API] Session API initialized with background cleanup tasks
2026-01-28T04:14:12.827188468Z [err]  INFO:agentic.session_api:[SESSION_API] Registered session and instance blueprints
2026-01-28T04:14:12.827197185Z [err]  INFO:root:Session and Instance blueprints registered
2026-01-28T04:14:12.827207988Z [err]  INFO:root:Resource Monitoring blueprint registered at /api/resources
2026-01-28T04:14:12.827265580Z [err]  INFO:rate_limit_config:[FIX6] ✅ Redis connection successful
2026-01-28T04:14:12.827270722Z [err]  INFO:rate_limit_config:[FIX6] Rate limiter initialized
2026-01-28T04:14:12.827274730Z [err]  INFO:rate_limit_config:[FIX6]   Storage backend: redis://default:YgEBEiOnkncQvDFtsCwfuUqmFrjHEmck@redis.railway.internal:6379
2026-01-28T04:14:12.827278894Z [err]  INFO:rate_limit_config:[FIX6]   Redis status: connected
2026-01-28T04:14:12.827283234Z [err]  INFO:rate_limit_config:[FIX6]   Rate limiting enabled: True
2026-01-28T04:14:12.827289018Z [err]  INFO:rate_limit_config:Rate limiting configured successfully
2026-01-28T04:14:12.827295620Z [err]  INFO:root:Rate limiting initialized successfully
2026-01-28T04:14:12.827301947Z [err]  INFO:root:Agentic workflow blueprint registered at /api/agentic
2026-01-28T04:14:12.827308586Z [err]  INFO:root:Deep Agent blueprint registered at /deep-agent
2026-01-28T04:14:12.827315206Z [err]  INFO:root:EnGenie Chat API blueprint registered at /api/engenie-chat
2026-01-28T04:14:12.827322631Z [err]  INFO:root:Tools API blueprint registered at /api/tools
2026-01-28T04:14:12.827330432Z [err]  INFO:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Initialized
2026-01-28T04:14:12.856069677Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-flash (key #1/1)
2026-01-28T04:14:12.856077891Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-flash (key #1/1)
2026-01-28T04:14:12.856086205Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-pro (key #1/1)
2026-01-28T04:14:12.856093927Z [err]  INFO:root:LangChain components initialized.
2026-01-28T04:14:13.073326987Z [inf]  Checking database initialization...
2026-01-28T04:14:13.073331146Z [inf]  Creating database tables...
2026-01-28T04:14:13.082382830Z [inf]  Database tables created successfully.
2026-01-28T04:14:13.082387723Z [inf]  Initialization complete, exiting...
2026-01-28T04:14:13.108122561Z [inf]  Starting Application Server...
2026-01-28T04:14:14.776401690Z [err]  [COSMOS] Failed to initialize client: Connection string missing setting 'AccountEndpoint'.
2026-01-28T04:14:14.776407059Z [err]  Cosmos DB client not available. Project persistence will fail.
2026-01-28T04:14:15.848939039Z [inf]  1. Loading .env file...
2026-01-28T04:14:16.405177642Z [err]  INFO:agentic.base_memory:[StrategyRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:16.405182031Z [err]  INFO:agentic.base_memory:[StrategyRAGMemory] Singleton instance created
2026-01-28T04:14:16.416117160Z [err]  INFO:agentic.base_memory:[IndexRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:16.416124340Z [err]  INFO:agentic.base_memory:[IndexRAGMemory] Singleton instance created
2026-01-28T04:14:16.756482319Z [err]  INFO:agentic.base_memory:[StandardsRAGMemory] Singleton instance created
2026-01-28T04:14:16.756493837Z [err]  INFO:agentic.workflow_state_manager:[WORKFLOW_STATE_MANAGER] Initialized: max_states=10000, ttl=3600s, cleanup_interval=300s
2026-01-28T04:14:16.756502604Z [err]  INFO:agentic.workflow_state_manager:[WORKFLOW_STATE_MANAGER] Background cleanup thread started
2026-01-28T04:14:16.756514651Z [err]  INFO:agentic.intent_classification_routing_agent:[IntentRouting] Loaded 10 exit phrases, 6 greeting phrases, 67 knowledge patterns
2026-01-28T04:14:16.756520004Z [err]  INFO:agentic.intent_classification_routing_agent:[WorkflowStateMemory] Initialized - Backend workflow state tracking enabled
2026-01-28T04:14:16.756526961Z [err]  INFO:agentic.base_memory:[StandardsRAGMemory] Initialized: timeout=3600s, max_history=20
2026-01-28T04:14:16.829219377Z [err]  INFO:root:Redis session storage initialized successfully (Host: redis.railway.internal)
2026-01-28T04:14:16.977422744Z [err]  INFO:rate_limit_config:[FIX6] Testing Redis connection: redis://default:YgEBEiOnkncQvDFtsCwfuUqmFrjHEmck@redis.railway.internal:6379
2026-01-28T04:14:17.143468642Z [err]  INFO:rate_limit_config:[FIX6] ✅ Redis connection successful
2026-01-28T04:14:17.143473366Z [err]  INFO:rate_limit_config:[FIX6] Rate limiter initialized
2026-01-28T04:14:17.143478682Z [err]  INFO:rate_limit_config:[FIX6]   Storage backend: redis://default:YgEBEiOnkncQvDFtsCwfuUqmFrjHEmck@redis.railway.internal:6379
2026-01-28T04:14:17.143484335Z [err]  INFO:rate_limit_config:[FIX6]   Redis status: connected
2026-01-28T04:14:17.143489172Z [err]  INFO:rate_limit_config:[FIX6]   Rate limiting enabled: True
2026-01-28T04:14:17.145206496Z [err]  INFO:rate_limit_config:Rate limiting configured successfully
2026-01-28T04:14:17.145210575Z [err]  INFO:root:Rate limiting initialized successfully
2026-01-28T04:14:17.156351688Z [err]  INFO:root:Agentic workflow blueprint registered at /api/agentic
2026-01-28T04:14:17.156358014Z [err]  INFO:root:Deep Agent blueprint registered at /deep-agent
2026-01-28T04:14:17.170560800Z [err]  INFO:root:EnGenie Chat API blueprint registered at /api/engenie-chat
2026-01-28T04:14:17.172490280Z [err]  INFO:root:Tools API blueprint registered at /api/tools
2026-01-28T04:14:17.179340997Z [err]  INFO:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Initialized
2026-01-28T04:14:17.179346977Z [err]  INFO:agentic.instance_manager:[INSTANCE_MANAGER] Initialized
2026-01-28T04:14:17.179352951Z [err]  INFO:agentic.orchestrator_utils:[CLEANUP] Background cleanup tasks started
2026-01-28T04:14:17.179358578Z [err]  INFO:agentic.session_api:[SESSION_API] Session API initialized with background cleanup tasks
2026-01-28T04:14:17.179364090Z [err]  INFO:agentic.session_api:[SESSION_API] Registered session and instance blueprints
2026-01-28T04:14:17.179370692Z [err]  INFO:root:Session and Instance blueprints registered
